AC NO,Winner,Sex,Party
370,Leena Tiwari,F,ADAL      
371,Dr Harendra Prasad Singh,M,BJP       
372,Dinesh Chaudhary,M,BJP       
373,Triveni Ram,M,SBSP      
374,Subhash Passi,M,SP        
375,Sangeeta,F,BJP       
376,Virendra Kumar Yadav,M,SP        
377,Om Prakash Rajbhar,M,SBSP      
378,Alka Rai,F,BJP       
379,Sunita,F,BJP       
380,Sadhana Singh,F,BJP       
381,Prabhunarayan Yadav,M,SP        
382,Sushil Singh,M,BJP       
383,Sharada Prasad,M,BJP       
384,Avadhesh Singh,M,BJP       
385,Kailash Nath Sonkar,M,SBSP      
386,Anil Rajbhar,M,BJP       
387,Surendra Narayan Singh,M,BJP       
388,Ravindra Jaiswal,M,BJP       
389,Dr. Neelkanth Tiwari,M,BJP       
390,Saurabh Srivastava,M,BJP       
391,Neel Ratan Singh Patel &Amp;Quot;Neelu&Amp;Quot;,M,ADAL      
392,Ravindra Nath Tripathi,M,BJP       
393,Vijay Mishra,M,NINSHAD   
395,Rahul Prakash,M,ADAL      
396,Ratnakar Mishr,M,BJP       
397,Shuchismita Maurya,F,BJP       
398,Anurag Singh,M,BJP       
399,Rama Shankar Singh,M,BJP       
400,Anil Kumar Maurya,M,BJP       
401,Bhupesh Chaubey,M,BJP       
402,Sanjiv Kumar,M,BJP       
403,Har Iram,M,ADAL      
