Constituency Name,Constituency No.,Candidate No.,Candidate Name,Party Type,Party Name, Vote Secured, Total Valid Votes, % of Votes Secured Over Total Electors, % of Votes Secured Over Total Votes Poled, Status,Total Electors,Constituency Type
Lalganj,351,6,SUNITA BHARTI,U,BMUP,530,203646,,,FD,383481,SC
Mirzapur,396,7,DROPADI DEVI,U,BMUP,322,225234,,,FD,385046,GEN
Meerut  ,48,10,PRITI,Z,IND,98,195516,,,FD,302192,GEN
Bindki,239,9,RITA DEVI,U,BMUP,542,183971,,,FD,297107,GEN
Amethi,186,5,KIRAN DEVI,U,BKRD,634,187717,,,FD,334542,GEN
Chhaprauli,50,8,SAVITA MALIK,U,BMUP,386,200152,,,FD,317952,GEN
Tirwa,197,11,REETA,Z,IND,342,215019,,,FD,347126,GEN
Sultanpur,188,9,POONAM,U,BMUP,474,204858,,,FD,360891,GEN
Mohanlalganj ,176,6,AJAY PUSHPA RAWAT,Z,IND,9464,222570,,,FD,341161,SC
Mehnaun,295,11,PRATIBHA SINGH,Z,IND,17619,206971,,,FD,356055,GEN
Ghaziabad,56,5,AKILA BEGUM,U,BJVP,182,225856,,,FD,424065,GEN
Pipraich,321,12,ANITA JAISWAL,Z,IND,31073,246015,,,FD,386424,GEN
Mariyahu,370,12,LEENA TIWARI,U,ADAL,58804,180043,,,W,308114,GEN
Farrukhabad,194,14,REHANA KHAN,Z,IND,839,207982,,,FD,355323,GEN
Muhammadabad- Gohna (SC),355,6,MEENA DEVI,U,POOPEP,638,211785,,,FD,357200,SC
Mughalsarai,380,7,SHWETA PANDEY,U,POOPEP,261,232617,,,FD,376517,GEN
Karachhana,260,5,KANCHAN DEVI,U,BKSL,292,198734,,,FD,331661,GEN
Basti Sadar,310,10,SUDHA DEVI,U,ABSKP,486,206622,,,FD,347760,GEN
Dibiyapur,203,14,SHANDHYA DEVI,Z,IND,586,191614,,,FD,309497,GEN
Bhadohi,392,18,SARITA,U,JANADIP,251,239518,,,FD,415430,GEN
Sikandra,207,8,MITHLESH KATIYAR,U,JANADIP,1961,193753,,,FD,321231,GEN
Dadraul,136,4,ROOPA,N,CPI,2387,216563,,,FD,330164,GEN
Mehroni ,227,1,ARADHANA,N,CPI,4603,307753,,,FD,414989,SC
Bareilly,124,10,MADHVI SAHU,Z,IND,592,224378,,,FD,416119,GEN
Chhaprauli,50,2,RAJBALA,N,BSP,30241,200152,,,FD,317952,GEN
Budhana,11,4,SAEEDA BEGAM,N,BSP,30034,241116,,,FD,359132,GEN
Soraon ,255,1,GEETA PASI,N,BSP,60079,212679,,,L,365730,SC
Allahabad West,261,1,POOJA PAL,N,BSP,40499,198692,,,L,418814,GEN
Doomariyaganj,306,3,SAIYADA KHATOON,N,BSP,67056,201595,,,L,394321,GEN
Kerakat S.C.,372,1,URMILA RAJ,N,BSP,66307,227142,,,L,388511,SC
Gopamau ,157,1,MEENA KUMARI,N,BSP,49847,203032,,,L,330369,SC
Kishani (SC),109,1,KAMLESH KUMARI,N,BSP,27858,179515,,,FD,298555,SC
Ghorawal,400,2,BEENA SINGH,N,BSP,53090,239030,,,L,366156,GEN
Mungra Badshahpur,368,5,SUSHMA PATEL,N,BSP,69557,204332,,,W,354014,GEN
Machhlishahr S.C.,369,5,SUSHILA SAROJ,N,BSP,52796,208344,,,L,365135,GEN
Balamau ,160,1,NEELU SATYARTHI,N,BSP,52029,187997,,,L,347457,SC
Ghatampur ,218,3,SAROJ KUREEL,N,BSP,47598,191219,,,L,308922,SC
Zaidpur ,269,3,KM. MEETA GAUTAM,N,BSP,48095,256287,,,L,366644,SC
Rasulabad ,205,3,POONAM SANKHAVAR,N,BSP,41060,189385,,,L,311318,SC
Mehnagar ,352,1,VIDHYA CHAUDHARI,N,BSP,60198,202135,,,L,386934,SC
Sagri,345,5,BANDANA SINGH,N,BSP,62203,179125,,,W,327360,SC
Chandausi ,31,4,VIRMAWATI,N,BSP,51049,224074,,,L,363443,SC
Bisalpur,130,2,DIVYA GANGWAR,N,BSP,45338,222924,,,L,348274,GEN
Baberu,233,1,KIRAN YADAV,N,BSP,53886,193900,,,L,327864,GEN
BALHA (S.C.),282,2,KIRAN BHARTI,N,BSP,57519,202367,,,L,349477,SC
Puranpur,129,5,NATTHO DEVI,U,SSKP,1502,246819,,,FD,369513,SC
Chhibramau,196,13,MEERA DEVI,Z,IND,1287,268754,,,FD,422129,GEN
Allahabad South,263,20,SAVITA SAHOO ADVOCATE,Z,IND,429,177063,,,FD,391992,GEN
Chharra,74,11,RAM KALI,Z,IND,471,229000,,,FD,360399,GEN
Milak ,38,6,MADHUBALA,U,SKLP,827,216334,,,FD,338740,SC
Tilhar,133,14,RAGNI SINGH,Z,IND,1733,204249,,,FD,330651,GEN
Bareilly Cantt.,125,8,RABIYA AKHTAR,U,PECP,698,183430,,,FD,342911,GEN
Kasganj,100,10,PREETI MISHRA,Z,IND,967,220120,,,FD,345705,GEN
Belthara Road ,357,12,BINDUMATI,Z,IND,477,189878,,,FD,332833,SC
Ram Nagar,267,8,RAJ LUXMI VERMA,U,PECP,3137,223077,,,FD,326183,GEN
Zaidpur ,269,5,URMILA,U,PECP,1601,256287,,,FD,366644,SC
Husainganj,242,2,USHA MAURYA,N,INC,55002,175664,,,L,286819,GEN
Kalpi,220,1,UMAKANTI,N,INC,53160,229331,,,L,377544,GEN
Rampur Khas,244,3,ARADHANA MISHRA MONA,N,INC,81463,170655,,,W,315773,GEN
